PLACEKEY,LATITUDE,LONGITUDE,TOP_CATEGORY,CITY,REGION,POSTAL_CODE,STREET_ADDRESS,RAW_VISIT_COUNTS,RAW_VISITOR_COUNTS,IS_SYNTHETIC,WKT_AREA_SQ_METERS,ISO_COUNTRY_CODE,NORMALIZED_VISITS_BY_STATE_SCALING,NORMALIZED_VISITS_BY_REGION_NAICS_VISITS,NORMALIZED_VISITS_BY_REGION_NAICS_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,NORMALIZED_VISITS_BY_TOTAL_VISITORS
zzw-22m@8f3-ftd-z9f,30.689741,-88.111057,Offices of Other Health Practitioners,Mobile,AL,36606,2880 Dauphin St,643.0,407.0,False,1826.0,US,8004.0,0.03686069785,0.05247498621,0.0002264263956,0.001970955513
zzy-222@8f3-gb4-q2k,30.542658,-88.164044,"Museums, Historical Sites, and Similar Institutions",Mobile,AL,36582,Old Military Rd,623.0,371.0,False,36933.0,US,7845.0,0.03383732854,0.03859890335,0.0002289743309,0.001978222823
22b-222@5pm-h46-r8v,34.710811,-86.742667,Offices of Other Health Practitioners,Madison,AL,35758,540 Hughes Rd Ste 10A,447.0,336.0,False,2616.0,US,5525.0,0.05303226576,0.094871581,0.0001560048288,0.001355315147
22b-223@5pm-mtc-w49,34.729517,-86.583602,Offices of Other Health Practitioners,Huntsville,AL,35801,333 Franklin St SE,128.0,112.0,False,311.0,US,1577.0,0.01710041448,0.03043014839,4.550087593e-05,0.0003933671739
zzw-226@8gk-tt4-249,33.435866,-86.811378,Offices of Other Health Practitioners,Vestavia Hills,AL,35216,2090 Columbiana Rd Ste 2000,290.0,143.0,False,2087.0,US,3579.0,0.03950313365,0.07036387976,0.0001037746417,0.000900661151
222-222@5pm-h46-ysq,34.701741,-86.74131,Offices of Other Health Practitioners,Madison,AL,35758,181 Hughes Rd Ste 1B,186.0,73.0,False,1337.0,US,2315.0,0.01950985376,0.02489012314,6.648082382e-05,0.0005745646114
223-223@5pm-mvw-3yv,34.757788,-86.598362,Offices of Other Health Practitioners,Huntsville,AL,35810,2075 Max Luther Dr NW,108.0,87.0,False,707.0,US,1339.0,0.0110153367,0.01416085486,3.87737692e-05,0.0003315169535
222-223@5pm-gk9-92k,34.57594,-86.933873,Amusement Parks and Arcades,Decatur,AL,35601,2600A Point Mallard Dr SE,602.0,437.0,True,1236.0,US,7451.0,0.08248825348,0.1044093181,0.0002151195808,0.001857997469
222-225@8gk-tv4-k75,33.510912,-86.799954,Outpatient Care Centers,Birmingham,AL,35233,300 22nd St S,572.0,206.0,False,1736.0,US,7176.0,0.3194764496,0.4598970516,0.0002070274848,0.001793820906
zzw-225@8gm-nsg-qj9,34.693709,-86.57343,Medical and Diagnostic Laboratories,Huntsville,AL,35801,250 Chateau Dr SW Ste 120,5647.0,2890.0,False,22596.0,US,69711.0,1.210576757,1.456731751,0.001975781297,0.01707502866
